Ano;Município;"UF do Município";"Codigo SH4";"Descrição SH4";País;"Valor FOB (US$)"
2020;"Goiânia - GO";Goiás;0201;"Carnes de animais da espécie bovina, frescas ou refrigeradas";Chile;7602125
2020;"Luziânia - GO";Goiás;1507;"Óleo de soja e respectivas fracções, mesmo refinados, mas não quimicamente modificados";Peru;7506794
2020;"Pires do Rio - GO";Goiás;1201;"Soja, mesmo triturada";China;7491340
2020;"Goiatuba - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";China;7467057
2020;"Itumbiara - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Malásia;7430301
2020;"Catalão - GO";Goiás;1201;"Soja, mesmo triturada";Tailândia;7303008
2020;"Catalão - GO";Goiás;8424;"Aparelhos mecânicos (mesmo manuais) para projectar, dispersar ou pulverizar líquidos ou pós; extintores, mesmo carregados; pistolas aerográficas e aparelhos semelhantes; máquinas e aparelhos de jacto de areia, de jacto de vapor e aparelhos de jacto semelh";Argentina;7264963
2020;"Palmeiras de Goiás - GO";Goiás;0207;"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105";Japão;7243919
2020;"Goianésia - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";França;7228073
2020;"Ouvidor - GO";Goiás;7202;Ferro-ligas;"Taiwan (Formosa)";7203215
2020;"Jataí - GO";Goiás;1005;Milho;"Arábia Saudita";7014820
2020;"Edéia - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Malásia;6873293
2020;"Jataí - GO";Goiás;1005;Milho;Irã;6820518
2020;"Mozarlândia - GO";Goiás;0504;"Tripas, bexigas e estômagos de animais, exceto peixes, inteiros ou em pedaços, frescos, refrigerados, congelados, salgados, secos ou defumados";"Hong Kong";6808854
2020;"Rio Verde - GO";Goiás;1201;"Soja, mesmo triturada";Paquistão;6805668
2020;"Itumbiara - GO";Goiás;1201;"Soja, mesmo triturada";Bangladesh;6720599
2020;"Ouvidor - GO";Goiás;7202;Ferro-ligas;Itália;6525621
2020;"Anápolis - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Romênia;6499600
2020;"Itumbiara - GO";Goiás;1005;Milho;"Coreia do Sul";6493948
2020;"Goianésia - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Canadá;6484441
2020;"Quirinópolis - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Indonésia;6461998
2020;"Anápolis - GO";Goiás;7108;"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó";Turquia;6441626
2020;"Goiatuba - GO";Goiás;2207;"Álcool etílico não desnaturado, com um teor alcoólico em volume igual ou superior a 80 % vol; álcool etílico e aguardentes, desnaturados, com qualquer teor alcoólico";"Estados Unidos";6343858
2020;"Quirinópolis - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Argélia;6304681
2020;"Anápolis - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Tailândia;6269447
2020;"Mozarlândia - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Países Baixos (Holanda)";6265082
2020;"Jataí - GO";Goiás;1005;Milho;Espanha;6212583
2020;"Edéia - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Índia;6143181
2020;"Inhumas - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Hong Kong";6092076
2020;"Nazário - GO";Goiás;3503;"Gelatinas e seus derivados; ictiocola e outras colas de origem animal, exceto cola de caseína";"Estados Unidos";6085847
2020;"Jataí - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Espanha;5929841
2020;"Itumbiara - GO";Goiás;1005;Milho;Japão;5876234
2020;"Chapadão do Céu - GO";Goiás;5201;"Algodão, não cardado nem penteado";Bangladesh;5861831
2020;"Chapadão do Céu - GO";Goiás;5201;"Algodão, não cardado nem penteado";Vietnã;5611364
2020;"Luziânia - GO";Goiás;1005;Milho;Japão;5610244
2020;"Itumbiara - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";China;5560729
2020;"Quirinópolis - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Iraque;5536766
2020;"Rio Verde - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";França;5470709
2020;"Catalão - GO";Goiás;8433;"Máquinas e aparelhos para colheita ou debulha de produtos agrícolas, incluídas as enfardadeiras de palha ou forragem; cortadores de relva e ceifeiras; máquinas para limpar e seleccionar ovos, frutas ou outros produtos agrícolas, exceto as da posição 8437";Tailândia;5451107
2020;"Catalão - GO";Goiás;8424;"Aparelhos mecânicos (mesmo manuais) para projectar, dispersar ou pulverizar líquidos ou pós; extintores, mesmo carregados; pistolas aerográficas e aparelhos semelhantes; máquinas e aparelhos de jacto de areia, de jacto de vapor e aparelhos de jacto semelh";"África do Sul";5433427
2020;"Pires do Rio - GO";Goiás;0207;"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105";Vietnã;5424065
2020;"Cristalina - GO";Goiás;5201;"Algodão, não cardado nem penteado";China;5418463
2020;"Palmeiras de Goiás - GO";Goiás;4104;"Couros e peles curtidos ou em crosta, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, mas não preparados de outro modo";Itália;5399100
2020;"Niquelândia - GO";Goiás;7202;Ferro-ligas;"Estados Unidos";5248261
2020;"Mozarlândia - GO";Goiás;0206;"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas";"Hong Kong";5218248
2020;"Rio Verde - GO";Goiás;5201;"Algodão, não cardado nem penteado";China;5213301
2020;"Itumbiara - GO";Goiás;1005;Milho;México;5137137
2020;"Goiânia - GO";Goiás;0201;"Carnes de animais da espécie bovina, frescas ou refrigeradas";"Arábia Saudita";5099837
2020;"Edéia - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Argélia;5080303
2020;"São Simão - GO";Goiás;1201;"Soja, mesmo triturada";Vietnã;5033701
2020;"Chapadão do Céu - GO";Goiás;5201;"Algodão, não cardado nem penteado";Paquistão;4968521
2020;"Itumbiara - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";Argélia;4943298
2020;"Luziânia - GO";Goiás;1201;"Soja, mesmo triturada";Espanha;4936142
2020;"Palmeiras de Goiás - GO";Goiás;0201;"Carnes de animais da espécie bovina, frescas ou refrigeradas";Suécia;4911109
2020;"Chapadão do Céu - GO";Goiás;5201;"Algodão, não cardado nem penteado";China;4893441
2020;"Jataí - GO";Goiás;1005;Milho;Malásia;4882763
2020;"Cristalina - GO";Goiás;5201;"Algodão, não cardado nem penteado";Indonésia;4880799
2020;"Jataí - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Turquia;4856721
2020;"Palmeiras de Goiás - GO";Goiás;0207;"Carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 0105";Singapura;4838546
2020;"Jataí - GO";Goiás;1005;Milho;Bangladesh;4792092
2020;"Cristalina - GO";Goiás;1005;Milho;Vietnã;4773133
2020;"Jataí - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Tailândia;4752291
2020;"Mineiros - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";Singapura;4748666
2020;"Catalão - GO";Goiás;0206;"Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas";Mianmar;4742645
2020;"São Luís de Montes Belos - GO";Goiás;2530;"Matérias minerais não especificadas nem compreendidas em outras posições";"Estados Unidos";4708504
2020;"Anápolis - GO";Goiás;7108;"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó";"Estados Unidos";4657959
2020;"Goiânia - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";Itália;4650081
2020;"Cristalina - GO";Goiás;1201;"Soja, mesmo triturada";Japão;4547898
2020;"Nazário - GO";Goiás;3503;"Gelatinas e seus derivados; ictiocola e outras colas de origem animal, exceto cola de caseína";Austrália;4537798
2020;"Ipameri - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Bahamas;4512990
2020;"Cachoeira Alta - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Hong Kong";4506298
2020;"Cristalina - GO";Goiás;1005;Milho;"Coreia do Sul";4422722
2020;"Campo Limpo de Goiás - GO";Goiás;7108;"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó";Itália;4419060
2020;"Anápolis - GO";Goiás;7108;"Ouro (incluído o ouro platinado), em formas brutas ou semimanufacturadas, ou em pó";Itália;4404576
2020;"Catalão - GO";Goiás;8433;"Máquinas e aparelhos para colheita ou debulha de produtos agrícolas, incluídas as enfardadeiras de palha ou forragem; cortadores de relva e ceifeiras; máquinas para limpar e seleccionar ovos, frutas ou outros produtos agrícolas, exceto as da posição 8437";Colômbia;4389373
2020;"Itumbiara - GO";Goiás;4107;"Couros preparados após curtimenta ou após secagem e couros e peles apergaminhados, de bovinos (incluindo os búfalos) ou de equídeos, depilados, mesmo divididos, exceto os da posição 4114";Vietnã;4345542
2020;"Ouvidor - GO";Goiás;7202;Ferro-ligas;Índia;4330858
2020;"Cristalina - GO";Goiás;1005;Milho;Irã;4297625
2020;"Rio Verde - GO";Goiás;1005;Milho;Indonésia;4289364
2020;"Goianésia - GO";Goiás;1701;"Açúcares de cana ou de beterraba e sacarose quimicamente pura, no estado sólido";China;4183099
2020;"Palmeiras de Goiás - GO";Goiás;0201;"Carnes de animais da espécie bovina, frescas ou refrigeradas";"Países Baixos (Holanda)";4165623
2020;"Cachoeira Alta - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";Egito;4138002
2020;"Catalão - GO";Goiás;8704;"Veículos automóveis para transporte de mercadorias";Paraguai;4101898
2020;"Chapadão do Céu - GO";Goiás;5201;"Algodão, não cardado nem penteado";Indonésia;3989543
2020;"Nazário - GO";Goiás;3503;"Gelatinas e seus derivados; ictiocola e outras colas de origem animal, exceto cola de caseína";Indonésia;3898392
2020;"Carmo do Rio Verde - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";França;3897519
2020;"Mozarlândia - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Hong Kong";3875449
2020;"Luziânia - GO";Goiás;1201;"Soja, mesmo triturada";Bangladesh;3867449
2020;"Catalão - GO";Goiás;8424;"Aparelhos mecânicos (mesmo manuais) para projectar, dispersar ou pulverizar líquidos ou pós; extintores, mesmo carregados; pistolas aerográficas e aparelhos semelhantes; máquinas e aparelhos de jacto de areia, de jacto de vapor e aparelhos de jacto semelh";Paraguai;3854923
2020;"Itumbiara - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Alemanha;3852660
2020;"Jataí - GO";Goiás;2304;"Tortas e outros resíduos sólidos da extração do óleo de soja";Romênia;3829684
2020;"Mineiros - GO";Goiás;0201;"Carnes de animais da espécie bovina, frescas ou refrigeradas";Líbano;3787803
2020;"Palmeiras de Goiás - GO";Goiás;0202;"Carnes de animais da espécie bovina, congeladas";"Hong Kong";3771022
2020;"Nazário - GO";Goiás;3503;"Gelatinas e seus derivados; ictiocola e outras colas de origem animal, exceto cola de caseína";Turquia;3740327
